Reference	EMN001	TAF017	VLC001
k141_75909	13	91	3083
k141_125530	6	3	3944
k141_157813	13	13	4669
k141_175342	2643	11	2564
k141_100613	7660	50	7110
k141_1630	2361	0	0
k141_206951	0	2	765
k141_121827	276	191	10610
k141_43939	3	8	2242
k141_143441	0	0	882
k141_79259	228	278	2895
k141_82824	214	22	4426
k141_72206	1645	635	10565
k141_125536	0	3	1032
k141_1631	30	3	1718
k141_4759	1	0	4763
k141_29499	11	11	10279
k141_196628	31	563	6043
k141_93331	765	270	3798
k141_40661	509	674	5802
k141_97222	1	32	5199
k141_224711	7740	67	8145
k141_125542	5	16	4848
k141_153792	2	23	2654
k141_54585	0	37	5700
k141_178698	3476	21154	3
k141_210697	0	1	4127
k141_68742	8141	46	7700
k141_19286	193	61	1788
k141_1649	8	9	3024
k141_104468	0	0	978
k141_206982	6	12	3869
k141_132778	1413	501	5982
k141_193030	9	33	4284
k141_86279	6	23	3873
k141_36787	1038	1286	12163
k141_175394	41	38	6632
k141_51027	373	301	3418
k141_8324	2925	1316	17840
k141_19297	0	4	1002
k141_118484	3	119	5383
k141_68744	13	39	8327
k141_82870	2718	0	0
k141_221282	1	62	11495
k141_224734	1	1	2026
k141_125563	163	12	2350
k141_47331	13	64	1578
k141_160995	11006	65	10445
k141_203909	33	11	6899
k141_168002	0	114	8413
k141_104497	28	484	5655
k141_40752	29	46	2810
k141_8341	166	421	1995
k141_68756	7	6	3474
k141_90037	2187	788	13609
k141_157952	99	58	3990
k141_100703	0	0	5116
k141_54642	14	8	6671
k141_182376	75	148	25810
k141_97308	925	351	4599
k141_189663	1405	537	7010
k141_15322	26	7	1942
k141_139667	498	321	33050
k141_107613	0	0	8338
k141_136256	2	1	9013
k141_161022	717	464	18586
k141_221296	1108	1029	1576
k141_224749	1026	947	1732
k141_218055	1	19	6158
k141_57921	3038	0	0
k141_146878	1	0	5634
k141_143585	0	0	890
k141_185901	18	0	1551
k141_157971	10	37	6243
k141_65370	1	32	591
k141_36846	5	26	1544
k141_171582	1929	717	12459
k141_189667	9	48	5886
k141_193094	13	85	8187
k141_86336	18	25	13929
k141_196776	6	44	1684
k141_114553	4	3	3611
k141_182390	343	531	4235
k141_65389	114	159	1420
k141_33478	2	1	3329
k141_47395	446	415	15223
k141_121939	12	135	5423
k141_57933	1	1	1754
k141_8371	15	1	10551
k141_22680	5788	19	5494
k141_104560	235	242	2003
k141_143609	44	13	2282
k141_118547	2	0	1183
k141_157994	85	34	5185
k141_111670	5	22	5307
k141_175564	6	46	3884
k141_164550	909	1282	10482
k141_44141	5	0	5371
k141_221314	113	83	7046
k141_51155	2	1	1557
k141_54704	225	83	2746
k141_200263	0	0	6561
k141_114568	21	6	3392
k141_8387	2	0	4076
k141_107669	2850	79	2899
k141_36861	280	240	13195
k141_196785	4780	28795	0
k141_224793	8	38	4196
k141_76146	7549	76	828
k141_178773	51	53	18056
k141_1822	0	42	4618
k141_221334	2727	0	0
k141_8403	538	449	883
k141_214334	146	145	1369
k141_210832	0	222	19276
k141_83018	887	533	1142
k141_189693	1246	647	16570
k141_65470	0	24	6925
k141_26139	0	0	1014
k141_90187	0	18	5742
k141_100821	193	195	3963
k141_111743	9	6	5518
k141_125614	515	316	48491
k141_143693	1	0	3790
k141_4987	0	42	3635
k141_196789	249	154	11238
k141_79465	43	9	1706
k141_47453	163	71	7254
k141_57983	0	0	14419
