SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	ClusterCenterDist
0115	VLC_EMN_TAF_min10k_sorted_md_k141_18307_n1265	1265	1.0	0.0	0.0	0.7777
0116	VLC_EMN_TAF_min10k_sorted_md_k141_39370_n2904	2904	1.0	0.0	0.0	0.1863
0117	VLC_EMN_TAF_min10k_sorted_md_k141_167160_n4535	4535	1.0	0.0	0.0	0.1604
0118	VLC_EMN_TAF_min10k_sorted_md_k141_17633_n5198	5198	1.0	0.0	0.0	0.1695
0119	VLC_EMN_TAF_min10k_sorted_md_k141_133289_n4329	4329	1.0	0.0	0.0	0.1783
0120	VLC_EMN_TAF_min10k_sorted_md_k141_147292_n4271	4271	1.0	0.0	0.0	0.0835
0121	VLC_EMN_TAF_min10k_sorted_md_k141_168706_n3958	3958	1.0	0.0	0.0	0.1975
0122	VLC_EMN_TAF_min10k_sorted_md_k141_179400_n2148	2148	1.0	0.0	0.0	0.204
0123	VLC_EMN_TAF_min10k_sorted_md_k141_64973_n5978	5978	1.0	0.0	0.0	0.1123
0124	VLC_EMN_TAF_min10k_sorted_md_k141_126204_n2985	2985	1.0	0.0	0.0	0.138
0125	VLC_EMN_TAF_min10k_sorted_md_k141_221207_n8987	8987	1.0	0.0	0.0	0.5732
0126	VLC_EMN_TAF_min10k_sorted_md_k141_46258_n5976	5976	1.0	0.0	0.0	0.151
0127	VLC_EMN_TAF_min10k_sorted_md_k141_59956_n1794	1794	1.0	0.0	0.0	0.2295
0128	VLC_EMN_TAF_min10k_sorted_md_k141_213220_n11039	11039	1.0	0.0	0.0	0.0783
0129	VLC_EMN_TAF_min10k_sorted_md_k141_54125_n9877	9877	1.0	0.0	0.0	0.1074
0130	VLC_EMN_TAF_min10k_sorted_md_k141_29499_n10294	10294	1.0	0.0	0.0	0.1561
0131	VLC_EMN_TAF_min10k_sorted_md_k141_84036_n1472	1472	1.0	0.0	0.0	0.1798
0132	VLC_EMN_TAF_min10k_sorted_md_k141_111990_n3502	3502	1.0	0.0	0.0	0.2924
0133	VLC_EMN_TAF_min10k_sorted_md_k141_222071_n6590	6590	1.0	0.0	0.0	0.1686
0134	VLC_EMN_TAF_min10k_sorted_md_k141_195972_n4776	4776	1.0	0.0	0.0	0.2065
0135	VLC_EMN_TAF_min10k_sorted_md_k141_185522_n4213	4213	1.0	0.0	0.0	0.1956
0136	VLC_EMN_TAF_min10k_sorted_md_k141_73959_n4908	4908	1.0	0.0	0.0	0.1877
0137	VLC_EMN_TAF_min10k_sorted_md_k141_143054_n6287	6287	1.0	0.0	0.0	0.1455
0138	VLC_EMN_TAF_min10k_sorted_md_k141_146682_n2025	2025	1.0	0.0	0.0	0.1507
0139	VLC_EMN_TAF_min10k_sorted_md_k141_25523_n2605	2605	1.0	0.0	0.0	0.1609
0140	VLC_EMN_TAF_min10k_sorted_md_k141_210024_n5739	5739	1.0	0.0	0.0	0.2065
0141	VLC_EMN_TAF_min10k_sorted_md_k141_109598_n1826	1826	1.0	0.0	0.0	0.2159
0142	VLC_EMN_TAF_min10k_sorted_md_k141_215750_n4934	4934	1.0	0.0	0.0	0.1667
0143	VLC_EMN_TAF_min10k_sorted_md_k141_162352_n1362	1362	1.0	0.0	0.0	0.4011
0144	VLC_EMN_TAF_min10k_sorted_md_k141_199553_n1986	1986	1.0	0.0	0.0	0.2112
0145	VLC_EMN_TAF_min10k_sorted_md_k141_45509_n3239	3239	1.0	0.0	0.0	0.1919
