Reference	EMN001	PYK001	TAF017	VLC001
k141_60883	1407	0	1	0
k141_156906	43	0	39	7793
k141_188741	1	0	0	585
k141_170886	7	0	33	1278
k141_82150	113	0	89	5248
k141_78606	2	0	1	2513
k141_153186	0	0	0	1143
k141_178039	5	0	1	1028
k141_185195	9	0	2	1476
k141_174607	0	0	34	5092
k141_181546	12	0	28	7370
k141_99943	0	0	1	2245
k141_217185	1	0	0	1792
k141_46631	2	0	6	1134
k141_131998	9	0	43	8717
k141_11195	145	0	99	19888
k141_146115	690	0	285	3874
k141_103560	5	0	5	1949
k141_124908	178	0	151	3200
k141_121212	0	0	4	1463
k141_14623	3	0	14	2666
k141_21896	49	0	53	2344
k141_53842	2	0	5	258
k141_224141	31	0	0	713
k141_142610	415	0	210	3362
k141_199364	4	0	51	9424
k141_124913	15	0	1	778
k141_206306	16	0	13	6627
k141_153195	2	0	2	1616
k141_25559	5	0	0	508
k141_96410	1084	0	361	4466
k141_50266	31	0	18	2217
k141_39774	3	0	3	1265
k141_174632	3	0	4	1167
k141_36084	20	0	3	3768
k141_78615	0	0	0	551
k141_181564	3	0	14	916
k141_50267	11	0	0	602
k141_156940	0	0	19	2778
k141_217211	304	0	107	1900
k141_32531	178	0	94	7703
k141_14638	1	0	14	2522
k141_213549	1	0	0	720
k141_203079	0	0	0	899
k141_160315	1000	0	378	6312
k141_11222	121	0	121	3329
k141_132025	3	0	26	840
k141_224162	0	0	0	373
k141_18392	0	0	13	1780
k141_174636	2	0	20	2840
k141_21913	303	0	167	1981
k141_28891	0	0	0	8957
k141_188787	95	0	136	821
k141_50275	70	0	114	4019
k141_185219	126	0	191	1549
k141_53867	9	0	0	783
k141_146144	31	0	149	1803
k141_128369	26	0	4	819
k141_99961	0	0	0	6416
k141_798	16	0	36	2492
k141_153207	0	0	2	1239
k141_25576	10	0	0	544
k141_110684	12	0	8	269
k141_32532	205	0	183	8950
k141_163819	419	0	235	3449
k141_114020	475	0	323	45109
k141_82196	93	0	24	508
k141_64376	1	0	5	1213
k141_36104	0	0	10	1222
k141_28894	15	0	1	549
k141_135429	2	0	4	3009
k141_107025	219	0	4	1220
k141_142635	38	0	19	3111
k141_213552	83	0	13	1695
k141_68034	0	0	96	14401
k141_160326	1698	0	0	0
k141_206336	1	0	3	771
k141_217229	7	0	37	1494
k141_99969	2	0	0	900
k141_96446	88	0	111	3031
k141_78630	1206	0	28	1716
k141_174639	1	0	0	2029
k141_799	29	0	144	3441
k141_220623	1	0	0	818
k141_92831	54	0	0	387
k141_85648	84	0	24	1512
k141_21930	5	0	3	932
k141_185221	0	0	0	1017
k141_7693	99	0	127	1215
k141_18415	0	0	0	559
k141_224173	1	0	33	1792
k141_124955	78	0	5	1384
k141_135442	0	0	0	324
k141_210024	133	0	158	5371
k141_156967	9	0	44	1752
k141_181598	40	0	8	5331
k141_128398	13	0	2	740
k141_203133	74	0	13	385
k141_11271	0	0	0	2168
k141_121254	3	0	0	3028
k141_107036	624	0	237	3360
k141_135446	0	0	13	2625
k141_139045	11	0	14	774
k141_160350	238	0	119	1021
k141_210042	1201	0	9	1236
k141_199429	16	0	67	2756
k141_32554	1	0	39	1200
k141_178090	0	0	1	9034
k141_132090	4	0	41	785
k141_163854	44	0	16	1748
k141_50318	0	0	0	488
k141_185233	540	0	171	2827
k141_57297	2	0	0	496
k141_25620	0	0	0	422
k141_146181	602	0	235	4108
k141_7716	10	0	12	2916
k141_220647	5	0	26	4170
k141_64412	3111	0	0	0
k141_117748	3	0	3	459
k141_213597	13	0	4	1994
k141_71630	0	0	0	204
k141_181626	30	0	34	2761
k141_46727	38	0	0	306
k141_124976	151	0	19	969
k141_28904	17	0	52	8211
k141_192234	718	0	478	55536
k141_89334	40	0	90	18222
k141_117749	7	0	7	1047
k141_217280	0	0	7	785
k141_170976	0	0	0	436
k141_128412	20	0	7	1632
k141_174679	17	0	37	6239
k141_185245	264	0	144	2718
k141_4125	174	0	94	2411
k141_39887	2	0	0	1833
k141_14699	0	0	3	1424
k141_220656	2	0	9	845
k141_18469	0	0	1	3229
k141_195920	278	0	227	27214
k141_224215	0	0	0	1629
k141_181648	0	0	0	659
k141_7733	2	0	13	459
k141_21989	14	0	9	1093
k141_121297	0	0	0	828
k141_153244	13	0	51	7931
k141_25635	11	0	32	5992
k141_135494	8	0	2	870
