SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	ClusterCenterDist
0074	VLC_EMN_TAF_min10k_sorted_md_k141_83821_n4378	4378	1.0	0.0	0.0	0.0	0.0	0.0	0.2808
0075	VLC_EMN_TAF_min10k_sorted_md_k141_200862_n1283	1283	1.0	0.0	0.0	0.0	0.0	0.0	0.4243
0076	VLC_EMN_TAF_min10k_sorted_md_k141_92009_n1472	1472	1.0	0.0	0.0	0.0	0.0	0.0	0.6095
0077	VLC_EMN_TAF_min10k_sorted_md_k141_79483_n3959	3959	1.0	0.0	0.0	0.0	0.0	0.0	0.4658
0078	VLC_EMN_TAF_min10k_sorted_md_k141_115558_n2082	2082	1.0	0.0	0.0	0.0	0.0	0.0	0.5656
0079	VLC_EMN_TAF_min10k_sorted_md_k141_194754_n1018	1018	1.0	0.0	0.0	0.0	0.0	0.0	0.6846
0080	VLC_EMN_TAF_min10k_sorted_md_k141_222867_n5090	5090	1.0	0.0	0.0	0.0	0.0	0.0	0.2748
0081	VLC_EMN_TAF_min10k_sorted_md_k141_100703_n5110	5110	1.0	0.0	0.0	0.0	0.0	0.0	0.2649
0082	VLC_EMN_TAF_min10k_sorted_md_k141_86336_n13970	13970	1.0	0.0	0.0	0.0	0.0	0.0	0.2447
0083	VLC_EMN_TAF_min10k_sorted_md_k141_62123_n4125	4125	1.0	0.0	0.0	0.0	0.0	0.0	0.2027
0084	VLC_EMN_TAF_min10k_sorted_md_k141_123798_n5772	5772	1.0	0.0	0.0	0.0	0.0	0.0	0.2106
0085	VLC_EMN_TAF_min10k_sorted_md_k141_83102_n7227	7227	1.0	0.0	0.0	0.0	0.0	0.0	0.299
0086	VLC_EMN_TAF_min10k_sorted_md_k141_204610_n4341	4341	1.0	0.0	0.0	0.0	0.0	0.0	0.5947
0087	VLC_EMN_TAF_min10k_sorted_md_k141_221207_n8987	8987	1.0	0.0	0.0	0.0	0.0	0.0	0.4166
0088	VLC_EMN_TAF_min10k_sorted_md_k141_202035_n1644	1644	1.0	0.0	0.0	0.0	0.0	0.0	0.5896
0089	VLC_EMN_TAF_min10k_sorted_md_k141_191574_n1558	1558	1.0	0.0	0.0	0.0	0.0	0.0	0.6288
0090	VLC_EMN_TAF_min10k_sorted_md_k141_45778_n1368	1368	1.0	0.0	0.0	0.0	0.0	0.0	0.5545
0091	VLC_EMN_TAF_min10k_sorted_md_k141_206240_n17398	17398	1.0	0.0	0.0	0.0	0.0	0.0	0.2001
0092	VLC_EMN_TAF_min10k_sorted_md_k141_192022_n7395	7395	1.0	0.0	0.0	0.0	0.0	0.0	0.2626
0093	VLC_EMN_TAF_min10k_sorted_md_k141_125802_n4545	4545	1.0	0.0	0.0	0.0	0.0	0.0	0.4024
0094	VLC_EMN_TAF_min10k_sorted_md_k141_90799_n11208	11208	1.0	0.0	0.0	0.0	0.0	0.0	0.4022
0095	VLC_EMN_TAF_min10k_sorted_md_k141_22164_n5563	5563	1.0	0.0	0.0	0.0	0.0	0.0	0.3105
0096	VLC_EMN_TAF_min10k_sorted_md_k141_5023_n4358	4358	1.0	0.0	0.0	0.0	0.0	0.0	0.4119
0097	VLC_EMN_TAF_min10k_sorted_md_k141_219173_n6521	6521	1.0	0.0	0.0	0.0	0.0	0.0	0.4073
0098	VLC_EMN_TAF_min10k_sorted_md_k141_170543_n1058	1058	1.0	0.0	0.0	0.0	0.0	0.0	0.759
0099	VLC_EMN_TAF_min10k_sorted_md_k141_187164_n8511	8511	1.0	0.0	0.0	0.0	0.0	0.0	0.3333
0100	VLC_EMN_TAF_min10k_sorted_md_k141_19297_n1005	1005	1.0	0.0	0.0	0.0	0.0	0.0	0.8782
0101	VLC_EMN_TAF_min10k_sorted_md_k141_2872_n3337	3337	1.0	0.0	0.0	0.0	0.0	0.0	0.4546
0102	VLC_EMN_TAF_min10k_sorted_md_k141_170295_n3567	3567	1.0	0.0	0.0	0.0	0.0	0.0	0.2052
0103	VLC_EMN_TAF_min10k_sorted_md_k141_125536_n1035	1035	1.0	0.0	0.0	0.0	0.0	0.0	0.6197
0104	VLC_EMN_TAF_min10k_sorted_md_k141_159631_n17383	17383	1.0	0.0	0.0	0.0	0.0	0.0	0.2724
0105	VLC_EMN_TAF_min10k_sorted_md_k141_161769_n1473	1473	1.0	0.0	0.0	0.0	0.0	0.0	0.6435
0106	VLC_EMN_TAF_min10k_sorted_md_k141_84916_n1070	1070	1.0	0.0	0.0	0.0	0.0	0.0	0.8652
0107	VLC_EMN_TAF_min10k_sorted_md_k141_93211_n4072	4072	1.0	0.0	0.0	0.0	0.0	0.0	0.5347
0108	VLC_EMN_TAF_min10k_sorted_md_k141_220449_n4750	4750	1.0	0.0	0.0	0.0	0.0	0.0	0.4782
0109	VLC_EMN_TAF_min10k_sorted_md_k141_191057_n1183	1183	1.0	0.0	0.0	0.0	0.0	0.0	0.6561
0110	VLC_EMN_TAF_min10k_sorted_md_k141_149067_n1133	1133	1.0	0.0	0.0	0.0	0.0	0.0	0.5957
0111	VLC_EMN_TAF_min10k_sorted_md_k141_74765_n5132	5132	1.0	0.0	0.0	0.0	0.0	0.0	0.3455
0112	VLC_EMN_TAF_min10k_sorted_md_k141_73381_n1006	1006	1.0	0.0	0.0	0.0	0.0	0.0	0.6795
0113	VLC_EMN_TAF_min10k_sorted_md_k141_113438_n3785	3785	1.0	0.0	0.0	0.0	0.0	0.0	0.3458
0114	VLC_EMN_TAF_min10k_sorted_md_k141_160782_n3338	3338	1.0	0.0	0.0	0.0	0.0	0.0	0.3188
0115	VLC_EMN_TAF_min10k_sorted_md_k141_11195_n20133	20133	1.0	0.0	0.0	0.0	0.0	0.0	0.1875
0116	VLC_EMN_TAF_min10k_sorted_md_k141_108508_n9038	9038	1.0	0.0	0.0	0.0	0.0	0.0	0.3372
0117	VLC_EMN_TAF_min10k_sorted_md_k141_98534_n2057	2057	1.0	0.0	0.0	0.0	0.0	0.0	0.5848
0118	VLC_EMN_TAF_min10k_sorted_md_k141_113123_n4988	4988	1.0	0.0	0.0	0.0	0.0	0.0	0.5981
0119	VLC_EMN_TAF_min10k_sorted_md_k141_124123_n3917	3917	1.0	0.0	0.0	0.0	0.0	0.0	0.5323
